Description,VoteCount,Rating,Year,Title
Ömer's life is turned upside down when he falls in love with Gamze - a relationship that his conservative father would never approve of.,592.0,5.8,2023–,26. Ömer
The series will follow the showdown that results from the love that blossoms between two kids of lovers who parted ways years ago because of a letter.,405.0,6.2,2023,27. Veda Mektubu
A very wealthy family in the 1980s is forced to adopt the daughter of man who is on trial with the death penalty.,138.0,6.2,2023–,28. Dilek Tasi
"A murder had been committed in Eden Garden Estate, no one could believe it. Because on this site, people lived a quiet, calm and luxurious life. The residents of the site were known either for their fame through their professions or for their wealth directly from the family. No one had big troubles or fights in life. As it was, they lived an honest life... Until a woman named Arzu moved to the site. With the arrival of Arzu, all the balances in the site would be turned upside down, happy marriages would be destroyed by big fights, close friends would become enemies, the healthy psychology of children would deteriorate, and no one would trust anyone. But neither Arzu nor the people on the site knew what was going to happen... The police investigating Arzu's murder will witness the entangled criminal relations, the anger born of jealousy, forbidden relations, lies told on this site, while questioning these relations, which have turned into a vine. he would see their true face... No one was who he seemed to be, but one of them was a murderer and he wouldn't stop until the police got to him.",190.0,7.4,2023,29. Sarmasik Zamani
"An agent who sees nothing but his job with the eyes of honor; Ece, on the other hand, is a dazzling professional thief with a thousand and one skills.",1100.0,7.2,2023,30. Ruhun Duymaz
"Erhan's deception leads to a debt and their lives are turned upside down, but an offer from Erhan's boss Sibel changes their lives forever.",2000.0,6.2,2023,31. EGO
"Alize, who lost her mother the day she was born, is a beautiful but very selfish young girl. Alize, who goes crazy when she learns that her father is getting remarried, decides to fake a marriage with a man in order to take revenge.",431.0,6.4,2023–,32. Kendi Düsen Aglamaz
"The story of Zelish, the daughter of mountains, streams and plateaus, and Mehmet, who is passionate about all kinds of adventure and action.",159.0,4.1,2023,33. Vermem Seni Ellere
"Nisan goes after her friend who disappeared after attending a healing session together. The adventure begins for Nisan, who reaches a cult while following her friend's footsteps.",947.0,4.6,2023–,34. Arayış
"The story of the passionate, crazy love of two young people whose paths intersect in a vineyard; It is about the test of love and struggle of Kerem and Sevda, people of two different worlds.",305.0,4.6,2023,35. Kader Baglari
Each episode consists of independent sketches.,556.0,6.3,2023–,36. Dünya Bu
"Abdulkadir Geylani and Esref, who met during their journey, will set off for Baghdad together. Returning from his seclusion, Abdulkadir Geylani sees the chaos of the city and enters the struggle for the truth.",184.0,7.1,2023,37. Hay Sultan
"The series follows Yaz, who moves to Istanbul to pursue her late father's dream. Her arrival will put the friendship of two close friends, Murat and Kemal, to the test.",185.0,5.4,2023,38. Yaz Sarkisi
"Mehmet, a former police chief who rose rapidly in his career, has a talent that no one knows about. As the number of unsolved murder cases increases, Mehmet is offered consultancy with special powers.",61.0,7.1,2023–,39. Kuzgun: Dipsiz Karanlik
"After the death of their father, Halil and Ibrahim embark on a journey together to fulfill his will. The siblings learn a lot about both their father's past and themselves.",186.0,8.2,2023–,40. Modern Dogu Masallari
"Gökhan and Emre are successful soldiers of an elite squadron within the Turkish Air Force. The duo, who have different characters, must work together to successfully fulfill the tasks assigned to them in international waters.",98.0,7.9,2023,41. Hür
"The series revolves around Dogan, a beloved neighborhood lawyer, and his beautiful neighbor Melike, who, despite having known and loved each other for a long time, have never been able to get together as a couple. The story begins with Melike's dramatic entrance at Dogan's wedding on a motorcycle, followed by her kidnapping of the groom.",164.0,6.4,2023,42. Kismet
,32.0,5.7,2023–,43. Survivor 2023
"Vedat informs the six participants that they will die on the same day and wants to follow their behavior. Six participants, who think that they will die soon, try to cope with death in their own way by giving different reactions.",290.0,7.9,2023–,44. Son Gün
"Life story of Avicenna, philosopher of the Islamic Golden Age.",157.0,6.5,2023–,45. Ibn-I Sina
Bittersweet days of a big family that adheres to its traditions.,108.0,5.8,2023,46. Benim Güzel Ailem
Melissa Çelik is left without a mother and father when she was a baby. No one knows the truth about what happened to her family. Green Valley tells her story of becoming a young girl and then a woman.,66.0,4.9,2023,47. Yesil Vadi'nin Kizi
"When a journalist is killed while investigating a top secret organization that has members in every unit of the state, Superintendent Ali begins to investigate the perpetrators of this murder and the organization.",161.0,7.1,2023–,48. Sebeke
"Gece plans to go to university and dreams of making music with her boyfriend Emir for the whole summer. However, she moves with her family to Foça and meets Özgür, an instructor at the yacht club.",213.0,5.3,2023,49. Dönence
"Masal (Elif Kurtaran), who grew up with the tales of her dreamy mother Sirin (Feride Çetin), is trapped in a cold and realistic world when her mother is hospitalized due to heart disease, and turns into a fierce, vicious girl who can do anything. While the first person Masal will receive support from is her teacher Evgin (Ismail Hacioglu), things will turn upside down for everyone over time. During the journey of Fairy Tale, our hero will complete the unfinished tales of the other heroes of the story one by one while searching for his own tale, and on this journey, the closest person to Masal will be his dog Meatball, who never leaves his side.",194.0,6.7,2023,50. Taçsiz Prenses
"When Aksemseddin accepts the tutorship of Sehzade Mehmed, the epic story of both Mehmed and Aksemseddin will begin.",334.0,7.6,2023–,51. Kizilelma: Bir Fetih Öyküsü
"After the death of their father, Halil and Ibrahim embark on a journey together to fulfill his will. The siblings learn a lot about both their father's past and themselves.",186.0,8.2,2023–,52. Modern Dogu Masallari
The common curiosity of children living in the same neighborhood is technology. There are both those who help the children who come together to design drones and the bad guys who try to prevent them... The series will bring the exciting stories of technology-savvy children to the screen.,32.0,2.8,2023–,53. Kod Adi Kirlangic
"When a journalist is killed while investigating a top secret organization that has members in every unit of the state, Superintendent Ali begins to investigate the perpetrators of this murder and the organization.",161.0,7.1,2023–,54. Sebeke
An action series about 10 talented soldiers and their struggles to protect their homeland. against his enemies.,258.0,6.3,2023,55. Al Sancak
"After the Italian occupation in Tripoli, Major Enver, who saw that the Ottoman Empire was in a difficult situation, went to Tripoli with his patriotic friends like Mustafa Kemal, to organize the natives to drive out the invaders.",53.0,7.1,2023–,56. Mahsusa: Trablusgarb
Bittersweet days of a big family that adheres to its traditions.,108.0,5.8,2023,57. Benim Güzel Ailem
"Special Forces Police Commissioner in voluntary exile is called back home to join the fight against the evil taking over the city. Not only is the challenge more difficult than expected, but he is also faced with the demons of his past.",207.0,6.5,2023–,58. Serhat
"Murat, who is suddenly homeless and penniless, while thinking about what to do, meets the TV series sets in the ""extra"" coffee house he entered by chance.",193.0,8.4,2023–,59. Yardimci Oyuncu
"Iskender's son dies as a result of an accident. The accused is Metin, Korkmaz's son, whom he lost 22 years ago. Now the two friends are against each other for their sons.",145.0,5.7,2023,60. Tetikçinin Oglu
"What awaits a mother and father-to-be today after learning that she is going to have a baby? In addition to excitement and happiness, get ready to embark on a unique journey leading up to birth with questions and concerns on the minds of prospective parents.",0.0,,2023,61. Yeni Nesil Ebeveynler
"It tells the story of Ali Tahir, who has lived 100 years without aging a single day. However, after everything he has been through, he decides to end his life. But everything changes when he meets Harika.",407.0,6.3,2023,62. Yüz Yıllık Mucize
"A few years after Ismail's departure, the footsteps of the age of technology began to be heard in the warm and friendly town of Yesilova, and there were great changes in the lives of the family.",242.0,8.7,2023–,63. Yesil Deniz Milenyum
"It tells the collapse and resurrection of the greatest empire Asia has ever seen, the epic of the Gokturk Khanate. It is about 620 and 650 Chinese captivity and then the Kurshad revolution and 40 soldiers.",12.0,7.3,2023–,64. Gokturkler Asya'nin Efendileri
"The thrilling story of Tarik, who wishes to take revenge on his brother's murderer, and Elif, who cannot accept that her only hope in life is the murderer.",90.0,7.3,2023,65. Fedakar
"Kübra, who is trying to hold on to the cinema and television world, sometimes meets with fringe directors who target festivals in her casting auditions; Sometimes it intersects with opportunistic producers aiming for totality. This diversity of test shoots will challenge both his acting and social identity.",71.0,5.4,2023–,66. Deneme Çekimi
"Gece plans to go to university and dreams of making music with her boyfriend Emir for the whole summer. However, she moves with her family to Foça and meets Özgür, an instructor at the yacht club.",213.0,5.3,2023,67. Dönence
"After losing his only wife, Faruk returns to his mansion in Istanbul with his children. Serap, who comes with them to take care of the children, has ambitious plans.",164.0,4.7,2023,68. Üvey Anne
Derin is 27 years old. She falls in love the day her father dies and writes a book about it.,179.0,4.8,2023,69. Ben Bu Boslugu Nasil
"Selim, whose daughter was killed, does his own research to shed light on the incident, whose perpetrators could not be found, and questions the defendants on live broadcast and leaves the decision to the audience.",105.0,7.2,2023–,70. #adaleTT
"Assassination of Mehmet Baydar and Bahadir Demir. The two Turkish diplomats, Consul General Baydar and Vice Consul Demir, were murdered by Armenian-American Gourgen Yanikian.",92.0,8.0,2023–,71. Biltmore Oteli Cinayeti
"In the series adapted from Tarik Tufan's novel of the same name, the absurd adventures of Turgut, who is stuck between two different worlds, and his journey to find himself.",120.0,7.5,2023–,72. Sanzelize Dügün Salonu
,52.0,3.7,2023,73. Basim Belada
"Teoman is a revolutionary militant. With the death of his father, he takes over family holding and transforms into a corrupt capitalist. Teoman is in a metamorphosis. But the reason is unknown. Someone will want to solve this mystery.",730.0,6.3,2023–,74. Metamorfoz: Kirilma
"A happy but unfulfilled housewife, Nese, decides to go back and finish studying medicine after leaving university life for her family and children, returning to the faculty after years.",58.0,6.5,2023,75. Hayatimin Nesesi
"Alesia, who came to Istanbul to fulfill her mother Eleni's last wish, will find herself in the Gate that her mother left in her care and will embark on a journey full of hope and love, where she discovers her roots.",16.0,4.9,2023–,76. Kapi
"On the one hand, Alija works to hold together and rebuild war-torn Bosnia. On the other hand, we witness the struggle of a family torn apart by the genocide in the brutal conditions of the war.",93.0,7.9,2023–,77. Dayton
"Having lost track of each other after a magical evening in Cappadocia, Ayda and Teoman meet again in Ankara three years later, but Ayda is now with Teoman's cousin Mehmet. A difficult period will begin for Ayda, who is crushed under the pressure of her mother, and Teoman, who is torn between her family and her love. Kumru, on the other hand, tries to provide a good life for her brother Buse, despite the ambitions of her stepmother Fatma and her daughter Nazli. Chief Ozan, who has become obsessed with Nazli, takes a job to take care of his grandmother, which will change Kumru's life in an unexpected way.",16.0,6.5,2023–,78. Yalniz Kalpler
"The paths of Alper, the son of a socialite family, and Ferhan, who is of Pakistani descent from England, cross in the Turkology department of a university in Thorvingen. Life turns into a journey towards the values that are foreign to them",543.0,3.2,2023–,79. Koyu Beyaz
An oil-laden ship explodes in the Bosphorus. This explosion also creates a bomb effect for the lives of its residents living in Kuzguncuk.,33.0,7.0,2023–,80. Yangin Günleri Independenta
"This is the love of a time. Aylin on one side and Gürkan on the other. Someone loves watermelon. The other is orange. Someone wants silence. The other wants, let's always be happy. But they have one thing in common. They love each other very much.",42.0,5.2,2023–,"81. Sen, Ben, O"
"The humor feast, moderated with high-energy questions by Cem Workers and Fazli Polat, who are loved for their fun attitudes and quick-wittedness, where the audience freely share interesting stories from their own lives without being stuck in a certain stereotyped format, continues with all the conflicts between the two.",73.0,8.4,2023–,82. Çimen Show
"It is the story of the great defense of our superhero Akıncı, who defends goodness, order and justice and comes from the Akıncı tradition, against the rooted Chain tradition that feeds evil and chaos.",74.0,7.9,2023–,83. Akinci
,0.0,,2023–,84. Terapi
,19.0,7.0,2023,85. Eyvah Ramazan Bey
"A newly married couple clings to each other in the morning of each night, and by getting strength from their love, they manage to overcome every unpleasantness.",25.0,5.8,2023–,86. Askimiz Yeter
,17.0,5.9,2023,87. UniversDeli
,0.0,,2023–,88. Seker Fareler
Sitcom about a group of Turkish and expat misfits at a fledgling comedy club in a cheap Istanbul bar who struggle to make their dreams come true.,0.0,,2023–,89. Shameless Comedy
Candas comes up with a plan of deceiving his ex-wife Özden for money whereas his wife Ferzin has other plans to go To the Top with the blazing flame of hatred and rage inside her.,0.0,,2023–,90. Zirve
"Along with the people who migrated throughout history, insatiable flavors migrated from one continent to another, from one country to another. Moderated by Okan Bayülgen, who is indispensable for the screens; historian, academician and writer Ilber Ortayli and food expert and writer Sahrap Soysal come together for the first time in this series.",22.0,8.1,2023,91. Tadina Doyulmaz Sohbetler
,0.0,,2023–2024,92. 2023-2024 Süper Lig
"The striking and entertaining story of four 'night paparazzis' who chase after celebrities until the first light of the morning and chase ""scandalous"" news, extending from Istanbul nights to Bodrum.",16.0,6.9,2023,93. Ünlü Var Mi?
"Finding himself in the dark while facing his past, Yousef learns that Araz will come to Istanbul one day. While the news that Araz will come to Istanbul echoes all over Istanbul, the 3 fathers who rule Istanbul are shaken by the news that the King will come. The King, whose face they have never seen, even recognizes, puts them to the test. And explosions happen all over Istanbul. Alice is a famous and fearless newscaster. She is also the refugee childhood sweetheart Yousef finds years later. While walking curiously towards the person behind the explosions, Yousef has to drive Alice away. And the apocalypse breaks. Araz moves Istanbul. Chaos begins in the city.",0.0,,2023–,94. Araz
"Ridvan and Umut, who make a living by collecting garbage, become the leaders of the recycling market with their plans to overthrow the king of the recycling market of Zanyar, whose name they have just heard.",0.0,,2023–,95. Zanyar
,0.0,,2023–,96. OnlyCans
,0.0,,2023,97. Chef's Delight
,24.0,2.3,2023–,98. Yildiz De Bana
,0.0,,2023–,99. Kalbimin Aski
,0.0,,2023–,100. Spy Angels
,0.0,,2023,101. Murat Aksoy ile Hafta Sonu
"In each episode of this series, Pelin Batu will lead us in pursuit of ""brave new worlds"" in our daily lives, based on the thought of a philosopher.",0.0,,2023,102. Düsünüyorum Öyleyse Varim
,0.0,,2023–,103. Raylar Boyunca
,0.0,,2023–,104. Lider Masasi
"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.",5600.0,6.3,2022–,105. Kuş Uçuşu
"Halis Aga, the pillar of one of Gaziantep's well-established families, decides to marry off his unruly grandson Ferit to bring him into line.",4300.0,6.2,2022–,106. Yali Çapkini
A love story between two extreme families with the same truth but different methods.,1200.0,6.7,2022–,107. Kızılcık Şerbeti
"The story is a Turkish-made detective, drama, adventure, comedy, thriller and action internet series, inspired by Emrah Serbes' novel of the same name, Çekiç ve Gül.",2400.0,8.6,2022–,108. Çekiç ve Gül: Bir Behzat Ç. Hikayesi
Three close friends set off on a journey to Ayvalik and then to their reshaped future.,6800.0,6.6,2022–,109. Another Self
"After disaster strikes Earth, a marine biologist on a submarine research mission must fight to survive with the crew as a conspiracy comes to light.",8100.0,6.2,2022,110. Yakamoz S-245
"Disadvantaged students earn scholarships to matriculate at a privileged kids' high school to investigate an accident that left their best friend paralyzed. They confront prejudice and intrigue, unsure of who is friend, foe, or culprit.",2400.0,6.6,2022,111. Duy Beni
"Dilan and Baran are forced to marry to end a feud and save their brother, but their uncle wants to rekindle it. This conflict-filled relationship will bring strong winds between two hearts, but will it turn into a real marriage?",703.0,7.2,2022–,112. Kan Çiçekleri
"At a historic Istanbul hotel, a journalist is thrust into the past and must stop a plot that could change the fate of modern Turkey.",10000.0,7.0,2022–,113. Pera Palas'ta Gece Yarisi
"""Graveyard"" is a dark basement, where a special unit works to solve unsolved murders of women. Commissioner Önem, will have to fight masculine prejudices that support male violence.",2800.0,7.8,2022,114. Mezarlik
"War photographer Mehmet and a group of journalists visit an Ezidi village to conduct an investigation. The group, secretly crossing the border, falls into the hands of a radical terrorist organization as a result of a raid.",3200.0,6.2,2022–,115. Kaçış
The fun adventures of two close friends who are dragged into the inextricable monotony of daily life.,556.0,7.7,2022–2023,116. Var Bunlar
"Orhun, the heir apparent of the Demirhanli family, will take their place on the screen with the vengeful love of Hira. Orhun, who punished the perpetrators, will now be guided by the fire of revenge in his heart.",677.0,6.8,2022–,117. Esaret
"The talented and promising Ömer, who decided to become a doctor after losing his father, and the legendary surgeon Hakan, who is dedicated to saving lives, cross paths in a town hospital far from the city.",355.0,7.0,2022–2023,118. Kasaba Doktoru
"Zeynep who lives with her twin children, is divorced from Oktay whom she married with great love during her university years, because she was cheated on. Zeynep loses her faith in men and closes her heart to love. Until he met Kenan Yelda.",655.0,6.8,2022,119. Erkek Severse
"Follows a doctor named Efsun, from Antep, as both her professional and love life are put to the test.",1500.0,6.7,2022,120. Senden Daha Güzel
"This is spin off comedy series of surreal film series ""G.O.R.A"".",15000.0,6.6,2022–,121. Erşan Kuneri
"Cezayir decides to avenge his brother, who worked for the state and was victim of sabotage, begins a new life by faking his death but after a while he must return to his past life.",419.0,4.8,2022–,122. Ben Bu Cihana Sigmazam
"He is a distinguished, respected family court judge. She is an honest and principled woman who has saved many marriages from destruction, made sure that many children receive the affection and love they deserve, and has always been on the side of justice.",282.0,5.7,2022–,123. Aldatmak
Sometimes the bad happen to make way for the good. (Destiny),387.0,6.0,2022–2023,124. Bir Küçük Gün Isigi
"In a world where it is hard to tell who is good and who is bad, what is real and what is fake, these three brothers, united by a common goal, will discover that they are not as connected as they thought.",707.0,7.0,2022–2023,125. Tuzak
"Leaving his dirty past behind, Sadi Payasli, who is appointed as a geography teacher at Karabayir High School, crosses the path with five young people from the reformatory.",860.0,6.8,2022–2023,126. Gelsin Hayat Bildigi Gibi
"Ilkin worries that her boyfriend, a famous actor, is no longer in love with her. One day, she decides to reach out to him from a fake social media account and almost creates the woman who can seduce her lover with her own hands.",2300.0,5.6,2022–,127. Dünyayla Benim Aramda
"The life of Emin Saruhanli, who has been at odds with his brother Mehmet Ali for years, will be told that suddenly changed with the plane crash.",919.0,6.3,2022,128. Baba
"Alina Boz gives life to a babysitter named ""Zeynep"". Zeynep, who grew up facing many challenges, partly due to her useless father, will face the biggest test when she stumbles upon a bag of cash.",478.0,6.1,2022,129. Bir Peri Masali
Four well-educated young women live in the lower class districts of Istanbul. Their life changes with the sudden death of their friend. They will try to find out who killed their friend and follow their dreams at the same time.,698.0,6.7,2022,130. Hayaller Ve Hayatlar
"The tale of three sisters and the obstacles they must overcome will be told. With Turkan's marriage, dark clouds will begin to hover over the family, and nothing will be the same as before.",766.0,4.4,2022–,131. Üç Kız Kardeş
"In the haze of a midlife crisis, an architect begins living a double life as a punk while members of his family lead their own crisis-ridden lives.",6500.0,7.1,2022,132. Uysallar
Eda and Yaren are two young girls who grew up in an orphanage in Bursa and try to console their loneliness by accepting each other as siblings. Yaren wants to become a doctor by taking the university exam and earning a scholarship to medical school.,328.0,5.9,2022,133. Gülümse Kaderine
"Naz has just graduated from the police academy and lives with her mother and uncle, who are protective characters. In order to take down a mafia boss, the police force decides to utilize Naz and the insane police officer Pamir together for a secret mission.",666.0,6.7,2022,134. Gizli Sakli
,68.0,4.7,2022–,135. Kismetse Olur: Askin Gücü
"Yonca is a single mother struggling to raise her 5-year-old daughter. Yonca and Sare are poor, but they have each other, and they have a happy life. All of a sudden Sare's estranged father comes back into the picture, suing for custody. Then Yonca is evicted from her home, and after that, she's fired from her job. When everything comes to a dead end, she receives a life-changing offer. Now a new life begins for Yonca. But she does not know; while escaping from the rain, she will be caught by hail.",86.0,6.2,2022–2023,136. Hayatımın Şansı
"Belgin and Berna are two 40-year-old women who oppose the rules imposed by society and men. These women, who live different lives from different environments but have to struggle with similar problems, are in search of freedom and identity.",235.0,6.4,2022–,137. Aslinda Özgürsün
"Cennet, who has been abused by her husband for years, calls Zeynep, the lawyer whose sign she sees from the window of her hospital room. He gives a letter to be opened after he dies. Zeynep's testament is this letter; It's actually a criminal complaint. After that day, the lives of Cennet's husband Yilmaz, and her children Birsen, Halil and Feride will change irreversibly.",370.0,7.1,2022–2023,138. Yürek Çikmazi
,57.0,8.0,2022–,139. Yavuz: Taht Kavgası
Zeynep is trapped in her low socioeconomic status with her special needs dad. She dreams of becoming an influencer and making her big break.,166.0,4.7,2022–2023,140. O Kiz
"The story of two young people whose families were changed when they were born and who grew up without knowing each other for years, while making their own plans but encountering the plans of fate.",47.0,5.9,2022–,141. Yazgi
"The life of Ece and Umut, who decided to share the same house; He is upset by a surprise decision from Umut's aunt. The aunt, who has decided to dispose of all her possessions, will leave the only house she has left to whoever marries first.",394.0,5.7,2022–2023,142. Sadece Arkadasiz
"Shedding light on Turkey's recent history, the series will cover the coups, betrayals, murders, anarchy, and terrorism that have occurred since the arrival of the American Peace Corps in Turkey.",513.0,5.4,2022,143. Yalniz Kurt
"After a traffic accident, he stays in a coma for 5 years and does not remember anything when he wakes up. Something doesn't quite fit for Toprak, who has to adopt only the things she's been told about her life. His mother Keriman forces Toprak to marry Aydan, whom he says is his fiancee. Fidan lost her husband and child 5 years ago and lives with her sick father and stepmother. Halide, who has been the servant of Toprak and her mother Keriman for many years; He is one of the two people who know the truth, and unable to suppress his sense of guilt any longer, he goes to Fidan with Toprak to tell the truth. Seeing Ercan attacking Fidan, Toprak intervenes and saves Fidan. Fidan cannot understand who Toprak is, who is very similar to her deceased husband Nejat, but feels close to both her and her son Burak. Ercan does not leave Fidan, who is taken to the hospital, and makes new plans for Fidan to say yes to him.",45.0,5.3,2022–,144. Toprak ile Fidan
"A rich touch actor, Tolga (previously a romance star) meets a modest, poor girl, Aysa (a mall clerk) and through hijinks, coincidence, and no choice but to accept it, they embark on a journey of a lifetime as Prince & Pauper.",485.0,5.5,2022,145. Seversin
"Two different lives, two different worlds... Will Zeynep and Civanmert be able to escape the love of their destiny? The series will follow the love of the smart, resourceful, and beautiful Zeynep, who manages the family business, and Civanmert, a naive but brave neighborhood boy who is famous as the ""yekparmak valet.""",296.0,5.9,2022,146. Seni Kalbime Sakladım
A judge tries to protect his son from a death-caused hit and run situation.,190.0,6.3,2022,147. Hakim
,78.0,5.3,2022,148. Survivor 2022 All Star
"Cities change, streets never.",253.0,5.5,2022–2023,149. Kiyma
The collapse of Neslihan's happy marriage started with a favor she did.,280.0,5.4,2022–2023,150. Iyilik
"Amid the onset of andropause, a 50-something family man becomes obsessed with change and decides to pursue happiness. Then he bungles it up completely.",4400.0,6.7,2022–,151. Andropoz
"The love of Emre, a man who has never tasted love, and Hicran, who breathes in hopes of finding the baby she thinks she has lost.",72.0,7.9,2022–,152. Hicran
"It tells the story of Gonca, who encounters the mysterious secrets of the past thanks to the inheritance left to her after her mother's death, and Toprak, the son of Atabey family, one of the leading families of Isparta.",157.0,5.0,2022,153. Gül Masali
"The series centers on Kagan and Firuze, two lovebirds whose lives drastically change in one day.",219.0,5.1,2022,154. Sevmek Zamani
The story revolves around a boy named Ali and his friends who take admission in a high profile school to investigate the murder of their best friend Vefa who was studying in the same school on scholarship.,594.0,5.7,2022,155. Tozluyaka
"The series follows the lives of a group of friends living in Istanbul, as they transition from high school to college and into the adult world.",522.0,6.5,2022,156. Darmaduman
"Mihri is a grieving mother who lost her daughter after a great disaster years ago. Due to a radical decision he took after this loss, his family broke up, he was abandoned by his son and husband, and he was left alone. However, Mihri did not give up, she hugged her granddaughter, who was the only memory of her daughter, and started to live a simple, small life.",77.0,5.1,2022,157. Son Nefesime Kadar
"The injustices he witnessed in his corporate business life push human resources specialist Macide to look for a way out. Realizing that her salvation can only be achieved by helping others, Macide decides to embark on the path of healing, which she received from her father when she was a child.",487.0,4.4,2022–2023,158. Gecenin Ucunda
"The story of four strong, intelligent, ambitious and successful young people who took their first steps in the business world to hold on to life and reach their dreams.",115.0,6.3,2022,159. Içimizdeki Ates
An idealistic young female teacher battles the town's powerful family for her student.,176.0,2.6,2022,160. Adi Sevgi
"Zeynep is an innocent and beautiful girl who's very fond of her mother. One day, her mother Cemre dies in an accident. No one can bring themselves to tell Zeynep that her mother is dead. Zeynep was born with a heart condition and she is not strong enough to bear the news.",69.0,6.8,2022–,161. Canim Annem
"Tells the love story of game developer Tamer and bankeress Peri, who meets in an extraordinary way and are trapped in a dangerous yet beautiful game.",755.0,4.3,2022–2023,162. Çöp Adam
"While Defne awaits the birth of her baby, she is unaware of the dangerous plans of Meryem, charwoman, for the baby. Two expectant mothers confront their past.",176.0,4.3,2022,163. Annenin Sirridir Çocuk
"In the Rosenhan Experiment, one of the most shocking experiments in the history of science, psychiatrist David Rosenhan and seven of his sane friends are admitted to different psychiatric hospitals around the country, waiting for doctors to distinguish themselves from the truly sick.",416.0,7.2,2022–,164. Cezailer
